Rank,Driver,Points,Diff
1,Austin Dillon,58,
2,Denny Hamlin,52,-6
3,Kevin Harvick,50,-8
4,Chase Elliott,48,-10
5,Michael McDowell,46,-12
5,Ryan Preece,46,-12
7,Kyle Larson,41,-17
7,Bubba Wallace,41,-17
9,Joey Logano,40,-18
10,Christopher Bell,35,-23
11,Ross Chastain,32,-26
11,Corey LaJoie,32,-26
11,Kyle Busch,32,-26
14,Jamie McMurray,30,-28
15,Cole Custer,27,-31
16,Brad Keselowski,25,-33
17,Ricky Stenhouse Jr,19,-39
18,Chase Briscoe,18,-40
19,Kurt Busch,17,-41
20,Cody Ware,16,-42
21,Josh Bilicki,13,-45
