Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,37,37
Landon Cassill,38,38,1
Joey Logano,39,65,27
William Byron,66,74,9
Bubba Wallace,75,76,2
William Byron,77,117,41
Kyle Busch,118,152,35
Denny Hamlin,153,153,1
Ross Chastain,154,154,1
Bubba Wallace,155,156,2
Brad Keselowski,157,167,11
Kyle Busch,168,193,26
Corey LaJoie,194,197,4
Kyle Busch,198,208,11
"Martin Truex, Jr.",209,220,12
Kyle Busch,221,293,73
"Martin Truex, Jr.",294,319,26
Kyle Busch,320,320,1
Denny Hamlin,321,325,5
"Martin Truex, Jr.",326,335,10
Kyle Busch,336,344,9
Erik Jones,345,367,23
