driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Tyler Reddick,5,8,1,1,23,5,20,94,74,66,70.2,21,262,97.8,2,0.7,268,126.1
Denny Hamlin,14,10,2,1,21,5,23,90,67,73,81.1,31,267,99.6,63,23.5,268,126.2
Erik Jones,19,13,3,1,28,9,25,143,118,74,51.7,9,232,86.6,0,0.0,268,101.6
Kyle Larson,2,11,4,1,29,7,18,83,65,49,59.0,50,228,85.1,99,36.9,268,119.8
Joey Logano,11,14,5,1,35,13,-4,123,127,63,51.2,1,204,76.1,0,0.0,268,84.9
Chase Elliott,4,1,6,1,20,5,-1,79,80,57,72.2,12,267,99.6,47,17.5,268,113.2
Kyle Busch,35,7,7,3,35,14,26,152,126,72,47.4,1,200,74.6,0,0.0,268,83.4
Christopher Bell,1,6,8,1,18,8,-6,65,71,46,70.8,10,253,94.4,15,5.6,268,100.9
Brad Keselowski,12,5,9,1,31,7,7,108,101,62,57.4,11,252,94.0,23,8.6,268,102.5
Alex Bowman,23,12,10,5,29,17,-4,137,141,37,27.0,0,113,42.2,0,0.0,268,73.5
Kevin Harvick,20,3,11,2,30,11,12,106,94,43,40.6,5,200,74.6,0,0.0,268,89.1
Ryan Blaney,17,2,12,2,29,9,19,108,89,61,56.5,3,245,91.4,0,0.0,268,93.1
Ross Chastain,6,21,13,3,29,13,-7,100,107,32,32.0,1,156,58.2,0,0.0,268,78.8
Ty Gibbs,36,15,14,6,36,18,20,138,118,46,33.3,0,135,50.4,0,0.0,268,70.7
William Byron,9,16,15,3,31,14,10,121,111,50,41.3,1,127,47.4,0,0.0,268,80.3
Daniel Suarez,15,17,16,1,34,18,-3,142,145,32,22.5,3,97,36.2,12,4.5,268,65.8
Aric Almirola,25,9,17,1,32,20,-1,154,155,32,20.8,3,55,20.5,3,1.1,268,60.8
Ryan Preece,28,23,18,2,34,24,-1,145,146,6,4.1,0,5,1.9,0,0.0,268,53.7
Chase Briscoe,26,33,19,5,33,25,-7,103,110,5,4.9,0,10,3.7,0,0.0,268,48.2
Carson Hocevar,21,18,20,8,35,22,-3,121,124,1,0.8,1,22,8.2,0,0.0,268,57.4
Justin Haley,30,20,21,7,32,21,22,150,128,8,5.3,0,10,3.7,0,0.0,268,58.3
Corey LaJoie,24,24,22,8,35,23,1,123,122,5,4.1,1,17,6.3,0,0.0,268,53.1
Ricky Stenhouse Jr,16,32,23,8,32,23,-7,118,125,9,7.6,0,12,4.5,0,0.0,268,47.8
Cole Custer,27,27,24,3,35,27,-21,105,126,4,3.8,0,6,2.2,0,0.0,268,37.2
Todd Gilliland,32,26,25,3,35,26,-5,120,125,16,13.3,2,39,14.6,0,0.0,267,43.7
Michael McDowell,7,28,26,2,34,20,-16,114,130,29,25.4,7,74,27.7,0,0.0,267,53.3
Chris Buescher,13,4,27,3,28,13,-12,94,106,53,56.4,1,228,85.4,0,0.0,267,70.8
Ty Dillon,33,30,28,3,34,27,-9,131,140,11,8.4,0,18,6.7,0,0.0,267,33.3
Sheldon Creed,34,29,29,6,36,30,-26,100,126,6,6.0,0,5,1.9,0,0.0,266,30.7
A.J. Allmendinger,22,22,30,8,33,23,-12,72,84,24,33.3,10,88,33.1,0,0.0,266,62.7
Austin Cindric,18,19,31,9,33,25,-32,106,138,4,3.8,0,5,1.9,0,0.0,266,34.7
Bubba Wallace,10,34,32,1,34,21,8,29,21,26,89.7,29,108,40.9,3,1.1,264,95.1
Austin Dillon,8,35,33,7,35,29,-10,41,51,19,46.3,0,56,21.6,0,0.0,259,57.8
J.J. Yeley,31,31,34,1,36,30,-11,92,103,7,7.6,0,15,7.1,1,0.5,212,29.5
Harrison Burton,29,25,35,2,34,29,3,111,108,6,5.4,0,6,3.4,0,0.0,175,34.2
Martin Truex Jr,3,36,36,3,16,36,-16,1,17,1,100.0,0,3,100.0,0,0.0,3,23.2
