Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,11,20,Christopher Bell,Reser's Fine Foods   (Joe Gibbs),Toyota,312,running,105,57,6
2,10,11,Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,312,running,3,43,0
3,17,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,312,running,0,37,0
4,4,21,Josh Berry,eero   (Wood Brothers),Ford,312,running,0,39,0
5,13,17,Chris Buescher,Fry's / Thomas' / Philadelphia   (Jack Roush),Ford,312,running,0,32,0
6,1,24,William Byron,Z by HP   (Rick Hendrick),Chevrolet,312,running,83,49,1
7,32,48,Alex Bowman,Ally Best Friends   (Rick Hendrick),Chevrolet,312,running,0,30,0
8,15,8,Kyle Busch,Zone / QuikTrip   (Richard Childress),Chevrolet,312,running,0,29,0
9,26,38,Zane Smith,Aaron's Rent to Own   (Bob Jenkins),Ford,312,running,0,28,0
10,6,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,312,running,0,29,0
11,24,1,Ross Chastain,Kubota Orange Days Sales Event   (Trackhouse Racing),Chevrolet,312,running,0,26,0
12,21,3,Austin Dillon,Bass Pro Shops/Winchester   (Richard Childress),Chevrolet,312,running,0,25,0
13,2,22,Joey Logano,Hunt Brothers Pizza   (Roger Penske),Ford,312,running,81,33,0
14,36,42,John H. Nemechek,Pye Barker Fire & Safety   (Legacy Motor Club),Toyota,312,running,0,23,0
15,28,60,Ryan Preece,Solomon Plumbing   (Jack Roush),Ford,312,running,34,30,0
16,25,10,Ty Dillon,Hybrid Light   (Matthew Kaulig),Chevrolet,312,running,0,21,0
17,27,34,Todd Gilliland,Frontline Enterprises INC.   (Bob Jenkins),Ford,312,running,0,20,0
18,5,43,Erik Jones,Family Dollar   (Legacy Motor Club),Toyota,312,running,0,19,0
19,14,2,Austin Cindric,Menards  Monster   (Roger Penske),Ford,312,running,6,22,0
20,9,45,Tyler Reddick,Mobil 1   (23XI Racing),Toyota,312,running,0,32,0
21,22,47,Ricky Stenhouse Jr,Ram Self Storage   (HYAK Motorsports),Chevrolet,311,running,0,16,0
22,16,16,A.J. Allmendinger,Celsius   (Matthew Kaulig),Chevrolet,311,running,0,15,0
23,31,99,Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,308,running,0,17,0
24,35,51,Cody Ware,Mighty Fire Breaker   (Rick Ware),Ford,306,running,0,13,0
25,34,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,304,crash,0,12,0
26,33,4,Noah Gragson,Long John Silver's   (Bob Jenkins),Ford,303,running,0,11,0
27,7,71,Michael McDowell,Workforce   (Spire Motorsports),Chevrolet,290,running,0,11,0
28,12,12,Ryan Blaney,Wurth   (Roger Penske),Ford,289,engine,0,22,0
29,19,23,Bubba Wallace,Leidos   (23XI Racing),Toyota,265,crash,0,8,0
30,37,78,Katherine Legge,Droplight   (B.J. McLeod),Chevrolet,210,crash,0,7,0
31,29,88,Shane Van Gisbergen,WeatherTech   (Trackhouse Racing),Chevrolet,100,crash,0,6,0
32,23,41,Cole Custer,Haas/Andy's   (Gene Haas),Ford,99,crash,0,5,0
33,20,6,Brad Keselowski,Consumer Cellular   (Jack Roush),Ford,99,crash,0,4,0
34,8,7,Justin Haley,Gainbridge   (Spire Motorsports),Chevrolet,98,crash,0,3,0
35,30,19,Chase Briscoe,Bass Pro Shops   (Joe Gibbs),Toyota,98,crash,0,2,0
36,3,77,Carson Hocevar,"MINER DOCKS, DOORS AND MORE.   (Spire Motorsports)",Chevrolet,98,crash,0,5,0
37,18,35,Riley Herbst,Monster Energy   (23XI Racing),Toyota,98,crash,0,1,0
